Country/Region,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Date,esta
China,Anhui,29.4794304782699,114.12558784301503,1.0,,,2020-01-22,si
China,Beijing,24.99931674612969,115.79011931445217,14.0,,,2020-01-22,si
China,Chongqing,28.06624509225544,117.14921356496934,6.0,,,2020-01-22,si
China,Fujian,40.049172404012495,93.42877253620176,1.0,,,2020-01-22,si
China,Gansu,47.76254957860827,134.239792982004,,,,2020-01-22,si
China,Guangdong,35.58077644642415,111.74383762015965,26.0,,,2020-01-22,si
China,Guangxi,44.126121892568236,83.00749007035449,2.0,,,2020-01-22,si
China,Guizhou,41.32826370964049,100.39580731722302,1.0,,,2020-01-22,si
China,Hainan,46.04792354793199,82.78758052954322,4.0,,,2020-01-22,si
China,Hebei,36.11633057518517,94.78019324238458,1.0,,,2020-01-22,si
China,Heilongjiang,34.46480146449372,89.26424257105002,,,,2020-01-22,si
China,Henan,42.770936399068944,130.29198674357627,5.0,,,2020-01-22,si
Hong Kong,Hong Kong,22.361197615623396,114.19864556306923,,,,2020-01-22,si
China,Hubei,37.35768798671538,107.64155510061175,444.0,28.0,17.0,2020-01-22,si
China,Hunan,38.15889702574471,88.5300723126185,4.0,,,2020-01-22,si
China,Inner Mongolia,37.392828613584655,85.40153814335171,,,,2020-01-22,si
China,Jiangsu,42.1547300038104,97.85168236878607,1.0,,,2020-01-22,si
China,Jiangxi,28.124423897481243,119.50389344219995,2.0,,,2020-01-22,si
China,Jilin,37.299788502246194,115.15389975431972,,,,2020-01-22,si
China,Liaoning,41.184096080906926,98.72630936361793,2.0,,,2020-01-22,si
Macau,Macau,22.1667,113.55,1.0,,,2020-01-22,si
China,Ningxia,40.6908401019335,101.8609225341948,1.0,,,2020-01-22,si
China,Qinghai,31.222011749523638,81.2630351795992,,,,2020-01-22,si
China,Shaanxi,47.95663686520052,89.07218544171303,,,,2020-01-22,si
China,Shandong,34.15156650497539,112.24689803046162,2.0,,,2020-01-22,si
China,Shanghai,38.035861802554095,98.14081265481013,9.0,,,2020-01-22,si
China,Shanxi,30.81756406550624,94.34422716508199,1.0,,,2020-01-22,si
China,Sichuan,33.65424889932593,93.0575859238845,5.0,,,2020-01-22,si
Taiwan,Taiwan,22.98933149852823,120.42505371792036,1.0,,,2020-01-22,si
China,Tianjin,43.19460218306324,129.20230152512045,4.0,,,2020-01-22,si
China,Tibet,36.18661539353922,86.83540775153672,,,,2020-01-22,si
US,Washington,45.151217712885426,-98.9470735096893,1.0,,,2020-01-22,si
China,Xinjiang,26.032817423953404,108.2466150980906,,,,2020-01-22,si
China,Yunnan,36.46894516785959,80.79926444520203,1.0,,,2020-01-22,si
China,Zhejiang,22.17654981800775,113.23304634354608,10.0,,,2020-01-22,si
Japan,,33.60657131387234,135.45281152351617,2.0,,,2020-01-22,si
Thailand,,14.875718528534913,104.99139701733407,2.0,,,2020-01-22,si
South Korea,,36.91831778382411,128.981776556904,1.0,,,2020-01-22,si
China,Anhui,28.09783741762599,107.45790542943381,9.0,,,2020-01-23,si
China,Beijing,36.175712942301054,86.01289595389353,22.0,,,2020-01-23,si
China,Chongqing,49.20634226968928,123.461858980279,9.0,,,2020-01-23,si
China,Fujian,44.689294091630565,123.11334998318762,5.0,,,2020-01-23,si
China,Gansu,25.01148559825387,116.52802432960422,2.0,,,2020-01-23,si
China,Guangdong,47.02337993902315,126.48623780022056,32.0,2.0,,2020-01-23,si
China,Guangxi,42.326499041251274,124.02062560275951,5.0,,,2020-01-23,si
China,Guizhou,23.28710136546094,101.65283089319674,3.0,,,2020-01-23,si
China,Hainan,30.648949058712684,107.63414231097961,5.0,,,2020-01-23,si
China,Hebei,35.21724387735216,109.91676150001467,1.0,,1.0,2020-01-23,si
China,Heilongjiang,44.48664953890081,91.17992136406329,2.0,,,2020-01-23,si
China,Henan,25.81001568879112,108.4296511023876,5.0,,,2020-01-23,si
Hong Kong,Hong Kong,22.296467498507162,113.9611340468124,2.0,,,2020-01-23,si
China,Hubei,42.20107936162961,89.81833943587729,444.0,28.0,17.0,2020-01-23,si
China,Hunan,33.56119000701733,106.54125381384094,9.0,,,2020-01-23,si
China,Inner Mongolia,29.868566240132886,115.52464432709192,,,,2020-01-23,si
China,Jiangsu,40.147023521047814,113.72928771721567,5.0,,,2020-01-23,si
China,Jiangxi,37.599688226192995,87.28544901502107,7.0,,,2020-01-23,si
China,Jilin,40.25137213852884,82.67954857329187,1.0,,,2020-01-23,si
China,Liaoning,37.29227124163086,106.03440784585067,3.0,,,2020-01-23,si
Macau,Macau,22.1667,113.55,2.0,,,2020-01-23,si
China,Ningxia,19.468968855906258,110.35486461972363,1.0,,,2020-01-23,si
China,Qinghai,43.565959930597245,123.02544983698779,,,,2020-01-23,si
China,Shaanxi,48.18993533316763,123.34662254777692,3.0,,,2020-01-23,si
China,Shandong,29.865504220742046,94.02447848316604,6.0,,,2020-01-23,si
China,Shanghai,31.44601001746401,91.8527901074037,16.0,,,2020-01-23,si
China,Shanxi,36.59609744858806,98.90104767611318,1.0,,,2020-01-23,si
China,Sichuan,36.50339183782829,119.05019898218148,8.0,,,2020-01-23,si
Taiwan,Taiwan,24.38915963067672,121.07265781566768,1.0,,,2020-01-23,si
China,Tianjin,40.00172713107089,89.00610738398225,4.0,,,2020-01-23,si
China,Tibet,29.653594812995294,86.50312374355717,,,,2020-01-23,si
US,Washington,43.122324478860165,-74.97303928065921,1.0,,,2020-01-23,si
China,Xinjiang,38.13966139816404,105.14232906994793,2.0,,,2020-01-23,si
